id,full_text,entities,regest,sender_name,sender_id,receiver_name,receiver_id,sender_date
kasten_blau_44_10_0058.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1709-02-21
kasten_blau_44_10_0063.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-05-05
kasten_blau_44_10_0068.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1709-04-04
kasten_blau_44_10_0077.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1709-04-06
kasten_blau_44_10_0080.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1709-04-20
kasten_blau_44_10_0082.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-05-24
kasten_blau_44_10_0088.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1709-04-30
kasten_blau_44_10_0090.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-06-05
kasten_blau_44_10_0092.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-07-06
kasten_blau_44_10_0094.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1709-06-01
